stage,patch,level,attempt,globalError,featureError,minusnumber,irregularPercent
FIT,0,2,0,1.94661e-05,1.42386e-14,0,0
FIT,0,2,1,0.00113509,1.44585e-14,0,0
FIT,0,2,2,0.00112626,1.44585e-14,0,0
FIT,0,2,3,0.00112349,1.09862e-14,0,0
FIT,0,2,4,0.00112626,1.08052e-14,0,0
FIT,0,2,5,0.00112691,1.13742e-14,0,0
FIT,0,2,6,0.00112626,1.08052e-14,0,0
FIT,0,1,0,0.0120009,1.44585e-14,0,0
FIT,0,1,1,0.0120213,1.33227e-14,0,0
FIT,0,1,2,0.0120009,1.06951e-14,0,0
FIT,0,0,0,0.0233318,1.42386e-14,0,0
FIT,1,2,0,0.0306867,1.06951e-14,0,0
FIT,1,2,1,0.0353945,1.42386e-14,0,0
FIT,1,2,2,0.0489977,1.25607e-14,0,0
FIT,1,2,3,0.0632674,1.48886e-14,0,0
FIT,1,1,0,0.209588,1.06951e-14,0,0
FIT,1,1,1,0.253265,1.08052e-14,0,0
FIT,1,1,2,0.325787,1.44585e-14,0,0
FIT,1,0,0,0.410736,1.58882e-14,0,0
FIT,2,2,0,0.410736,9.44147e-15,0,0
FIT,2,2,1,0.410736,8.74754e-15,0,0
FIT,2,2,2,0.410736,1.13829e-14,0,0
FIT,2,2,3,0.410736,1.2339e-14,0,0
FIT,2,2,4,0.410736,2.13348e-14,0,0
FIT,2,2,5,0.410736,1.19162e-14,0,0
FIT,2,2,6,0.410736,1.44585e-14,0,0
FIT,2,1,0,0.410736,8.74754e-15,0,0
FIT,2,1,1,0.410736,1.19162e-14,0,0
FIT,2,1,2,0.410736,1.2339e-14,0,0
FIT,2,0,0,0.410736,1.46482e-14,0,0
FIT,3,2,0,0.410736,9.44147e-15,0,0
FIT,3,2,1,0.410736,1.63772e-14,0,0
FIT,3,2,2,0.410736,1.09862e-14,0,0
FIT,3,2,3,0.410736,1.03579e-14,0,0
FIT,3,1,0,0.410736,1.09862e-14,0,0
FIT,3,0,0,0.49655,6.40475e-15,0,0
FIT,4,2,0,0.49655,7.46915e-14,0,0
FIT,4,2,1,0.49655,8.17558e-14,0,0
FIT,4,2,2,0.49655,9.74259e-09,0,0
FIT,4,2,3,0.49655,7.5244e-14,0,0
FIT,4,1,0,0.49655,7.86627e-14,0,0
FIT,4,0,0,0.49655,1.09804e-13,0,0
FIT,5,2,0,0.49655,5.52785e-11,0,0
FIT,5,2,1,0.49655,7.51175e-11,0,0
FIT,5,2,2,0.49655,2.58353e-09,0,0
FIT,5,2,3,0.49655,2.68803e-09,0,0
FIT,5,2,4,0.49655,7.71212e-07,0,0
FIT,5,2,5,0.49655,6.24112e-08,0,0
FIT,5,2,6,0.49655,1.09804e-13,0,0
FIT,5,1,0,0.49655,4.86233e-06,0,0
FIT,5,1,1,0.49655,3.94504e-06,0,0
FIT,5,1,2,0.49655,1.09804e-13,0,0
FIT,5,0,0,0.49655,8.2677e-14,0,0
FIT,6,2,0,0.49655,8.2677e-14,0,0
FIT,6,2,1,0.49655,8.26197e-14,0,0
FIT,6,2,2,0.907817,8.2677e-14,31,0.19375
FIT,6,2,2,0.914171,8.2677e-14,0,0
FIT,6,1,0,1.35114,8.2677e-14,0,0
FIT,6,0,0,1.30602,8.52651e-14,0,0
FIT,7,2,0,1.30602,8.44517e-14,0,0
FIT,7,2,1,1.30602,8.44517e-14,0,0
FIT,7,2,2,1.30602,8.52651e-14,0,0
FIT,7,2,3,1.30602,8.26197e-14,0,0
FIT,7,2,4,1.30602,8.2677e-14,0,0
FIT,7,2,5,1.30602,8.26197e-14,0,0
FIT,7,2,6,1.30602,8.52651e-14,0,0
FIT,7,1,0,1.30602,8.2677e-14,0,0
FIT,7,1,1,1.30602,8.26197e-14,0,0
FIT,7,1,2,1.30602,8.52651e-14,0,0
FIT,7,0,0,1.30602,8.26197e-14,0,0
FIT,8,2,0,1.30602,8.26197e-14,0,0
FIT,8,2,1,1.30602,8.2677e-14,0,0
FIT,8,2,2,1.30602,8.26197e-14,4,0.025
FIT,8,2,2,1.30602,8.26197e-14,0,0
FIT,8,1,0,1.30602,8.26197e-14,0,0
FIT,8,0,0,1.39836,8.44517e-14,0,0
FIT,9,2,0,1.39836,9.59233e-14,22,0.1375
FIT,9,2,0,1.39836,1.06585e-13,15,0.09375
FIT,9,2,0,1.39836,9.9476e-14,14,0.0875
FIT,9,2,0,1.39836,1.06596e-13,14,0.0875
FIT,9,2,0,1.39836,1.06596e-13,14,0.0875
FIT,9,2,0,1.39836,1.06596e-13,14,0.0875
FIT,9,1,0,2.03144,9.9476e-14,5,0.03125
FIT,9,1,0,2.10611,1.06585e-13,5,0.03125
FIT,9,1,0,2.11919,1.06596e-13,6,0.0375
FIT,9,0,0,2.89259,1.06585e-13,0,0
