stage,patch,level,attempt,globalError,featureError,minusnumber,irregularPercent
FIT,0,2,0,0.0659003,1.88137e-05,0,0
FIT,0,2,1,0.0753439,1.88393e-05,0,0
FIT,0,2,2,0.0752416,3.37731e-05,0,0
FIT,0,2,3,0.0753439,3.38158e-05,0,0
FIT,1,2,4,0.0753439,0.000138324,0,0
FIT,1,2,5,0.0753439,0.000173276,0,0
FIT,1,2,6,0.0753439,0.000238292,0,0
FIT,1,2,7,0.0753439,0.000246358,0,0
FIT,1,2,8,0.0753439,0.000330025,0,0
FIT,1,2,9,0.0753439,0.000320117,0,0
FIT,4,2,10,0.0753439,0.000320117,0,0
FIT,4,2,11,0.0753439,0.000320117,0,0
FIT,6,2,12,0.0753439,0.000320117,0,0
FIT,0,1,0,0.376457,0.00942463,0,0
FIT,1,1,6,0.376457,0.00942463,0,0
FIT,4,1,14,0.376457,0.00942463,0,0
FIT,1,1,17,0.376457,0.00942463,0,0
FIT,1,1,24,0.376457,0.00942463,0,0
FIT,0,0,0,0.376457,0.0142282,0,0
FIT,1,0,0,0.376457,0.0142282,0,0
FIT,2,0,0,0.376457,0.0143362,0,0
FIT,3,0,0,0.376457,0.0222617,0,0
FIT,4,0,0,0.376457,0.021812,0,0
FIT,5,0,0,0.376457,0.0218042,0,0
FIT,6,0,0,0.376457,0.0218042,0,0
FIT,7,0,0,0.376457,0.0218042,0,0
FIT,8,0,0,0.376457,0.0485709,0,0
FIT,9,0,0,0.376457,0.0485709,0,0
FIT,10,0,0,0.376457,0.0485709,0,0
FIT,11,0,0,0.66685,0.0485709,0,0
FIT,12,0,0,0.66685,0.0485709,0,0
FIT,13,0,0,0.66685,0.0485709,0,0
FIT,14,0,0,0.701062,0.0485709,0,0
FIT,15,0,0,0.701062,0.0485709,0,0
