stage,patch,level,attempt,globalError,featureError,minusnumber,irregularPercent
FIT,0,2,0,2.9612e-14,1.75682e-14,0,0
FIT,0,2,1,2.61758e-14,2.04329e-14,0,0
FIT,0,2,2,2.75416e-14,2.15566e-14,0,0
FIT,0,2,3,2.5804e-14,2.00825e-14,0,0
FIT,5,2,4,2.66906e-14,2.12282e-14,0,0
FIT,5,2,5,2.58527e-14,2.00825e-14,0,0
FIT,5,2,6,2.58184e-14,2.18689e-14,0,0
FIT,5,2,7,2.58527e-14,2.15418e-14,0,0
FIT,5,2,8,2.58527e-14,2.15418e-14,0,0
FIT,5,2,9,2.58527e-14,2.15418e-14,0,0
FIT,16,2,10,2.49679e-14,2.15418e-14,0,0
FIT,16,2,11,2.49679e-14,2.15418e-14,0,0
FIT,16,2,12,2.49679e-14,2.15418e-14,0,0
FIT,16,2,13,2.49679e-14,2.15418e-14,0,0
FIT,16,2,14,2.49679e-14,2.15418e-14,0,0
FIT,0,1,0,2.76417e-14,2.33009e-14,0,0
FIT,5,1,1,0.0182823,0.0131691,0,0
FIT,5,1,2,0.0223329,0.0174538,0,0
FIT,5,1,3,0.0519446,0.0186862,0,0
FIT,9,1,4,0.056865,0.0227695,0,0
FIT,9,1,7,0.0568679,0.0227708,0,0
FIT,5,0,0,0.0568714,0.0561804,0,0
FIT,17,0,1,0.0561804,0.0561804,0,0
FIT,16,0,1,0.0828033,0.0606845,0,0
FIT,9,0,3,0.0856032,0.0623871,0,0
FIT,0,0,3,0.0855972,0.0623833,0,0
FIT,1,0,3,0.0855972,0.0623833,0,0
FIT,2,0,3,0.0855973,0.0623833,0,0
FIT,3,0,3,0.0855973,0.0623833,0,0
FIT,4,0,3,0.0855973,0.0623833,0,0
FIT,6,0,3,0.0855973,0.0623833,0,0
FIT,7,0,3,0.0855973,0.0623834,0,0
FIT,8,0,3,0.0855973,0.0623834,0,0
FIT,10,0,3,0.0857494,0.0624846,0,0
FIT,11,0,3,0.0856736,0.0624398,0,0
FIT,12,0,3,0.0856677,0.0624363,0,0
FIT,13,0,3,0.0856672,0.0624359,0,0
FIT,14,0,3,0.0856672,0.0624358,0,0
FIT,15,0,3,0.0856672,0.0624357,0,0
