file,current_module,target_module,phase,notes
src/gsCore/gsDebug.h,gsCore,gsCore (foundation),stay,infrastructure
src/gsCore/gsMemory.h,gsCore,gsCore (foundation),stay,infrastructure
src/gsCore/gsTemplateTools.h,gsCore,gsCore (foundation),stay,infrastructure
src/gsCore/gsForwardDeclarations.h,gsCore,gsCore (foundation),stay,infrastructure
src/gsCore/gsMath.h,gsCore,gsCore (foundation),stay,infrastructure
src/gsCore/gsLinearAlgebra.h,gsCore,gsCore (foundation),stay,infrastructure
src/gsCore/gsStdVectorRef.h,gsCore,gsCore (foundation),stay,infrastructure
src/gsCore/gsRegistry.h,gsCore,gsCore (foundation),stay,infrastructure
src/gsCore/gsOptionList.h,gsCore,gsCore (foundation),stay,infrastructure
src/gsCore/gsStrategy.h,gsCore,gsCore (foundation),stay,infrastructure
src/gsCore/gsConfig.h.in,gsCore,gsCore (foundation),stay,infrastructure
src/gsCore/gsExport.h.in,gsCore,gsCore (foundation),stay,infrastructure
src/gsCore/gsSysInfo.h,gsCore,(forwarding header),done-S1,relocated in S1
src/gsCore/gsJITCompiler.h,gsCore,(forwarding header),done-S1,relocated in S1
src/gsCore/gsFunctionSet.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsFunction.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsFuncData.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsFuncCoordinate.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsBasis.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsBasisFun.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsBasisRefs.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsRationalBasis.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsConstantBasis.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsGeometry.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsGeometrySlice.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsGeometryTransform.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsCurve.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsSurface.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsVolume.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsBulk.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsGenericGeometry.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsAffineFunction.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsConstantFunction.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsComposedFunction.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsComposedBasis.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsComposedGeometry.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsBoundary.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsPiecewiseFunction.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsPatchwiseFunction.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsCoreXmlRegistration.h,gsCore,gsCore (hierarchy),stay,core abstractions
src/gsCore/gsDofMapper.h,gsCore,gsCore (hierarchy) - VERIFY,stay?,check dependence on gsMultiBasis after dev refactor (gsDofMapperCreator)
src/gsCore/gsMultiPatch.h,gsCore,gsContainers (new),S4-a,orchestrate bases/geometries; forwarding headers left at old paths
